"version","generator","osm3s__timestamp_osm_base","osm3s__timestamp_areas_base","osm3s__copyright","elements__type","elements__id","elements__center__lat","elements__center__lon","elements__lat","elements__lon","elements__tags__access","elements__tags__addr:city","elements__tags__addr:country","elements__tags__addr:full","elements__tags__addr:housename","elements__tags__addr:housenumber","elements__tags__addr:postcode","elements__tags__addr:state","elements__tags__addr:street","elements__tags__alt_name","elements__tags__addr:unit","elements__tags__amenity","elements__tags__denomination","elements__tags__electricity","elements__tags__area","elements__tags__description","elements__tags__contact:website","elements__tags__boundary","elements__tags__contact:phone","elements__tags__contact:phone:tollfree","elements__tags__building","elements__tags__building:colour","elements__tags__ele","elements__tags__ele:note","elements__tags__check_date","elements__tags__check_date:currency:XBT","elements__tags__contact:facebook","elements__tags__contact:instagram","elements__tags__currency:XBT","elements__tags__email","elements__tags__beds","elements__tags__building:levels","elements__tags__capacity","elements__tags__designation","elements__tags__capacity:beds","elements__tags__emergency","elements__tags__full_name","elements__tags__facebook","elements__tags__fax","elements__tags__gnis:feature_id","elements__tags__health_amenity:type","elements__tags__healthcare","elements__tags__leisure","elements__tags__helipad","elements__tags__heritage","elements__tags__heritage:operator","elements__tags__healthcare:for","elements__tags__layer","elements__tags__healthcare:speciality","elements__tags__image","elements__tags__landing_zone","elements__tags__name","elements__tags__name:en","elements__tags__nrhp:criteria","elements__tags__nrhp:inscription_date","elements__tags__nrhp:nhl","elements__tags__name_1","elements__tags__official_name","elements__tags__note","elements__tags__opening_date","elements__tags__opening_hours","elements__tags__operational_status","elements__tags__payment:cash","elements__tags__payment:cheque","elements__tags__payment:mastercard","elements__tags__payment:visa","elements__tags__payment:lightning","elements__tags__payment:lightning:operator","elements__tags__payment:lightning_contactless","elements__tags__payment:onchain","elements__tags__url","elements__tags__old_name","elements__tags__operator","elements__tags__operator:phone","elements__tags__roof:colour","elements__tags__roof:material","elements__tags__roof:shape","elements__tags__start_date","elements__tags__operator:short","elements__tags__operator:wikidata","elements__tags__operator:wikipedia","elements__tags__operator:type","elements__tags__school","elements__tags__phone","elements__tags__religion","elements__tags__tag","elements__tags__phone:tollfree","elements__tags__urgent_care","elements__tags__protection_title","elements__tags__ref:nrhp","elements__tags__specialty","elements__tags__was:amenity","elements__tags__toilets:wheelchair","elements__tags__source","elements__tags__type","elements__tags__short_name","elements__tags__ref","elements__tags__website","elements__tags__wheelchair","elements__tags__wikidata","elements__tags__wikipedia"
"","","","","","node","357782754","","","42.6185049","-97.2713787","","Hartington","","","","405","68739","","West Darlene Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","1874563","","hospital","","","","","","","","","","Avera Medical Group Hartington","","","","","","","","","","","","","","","","","","","","Sacred Heart Medical Center","Avera Health","","","","","","","Q4828238","","","","+1 402 254 3935","","","","","","","","","","","","","","https://www.avera.org/locations/profile/?id=116","","",""
"","","","","","node","357782831","","","42.3585541","-97.785647","","Plainview","","","","704","68769","","North 3rd Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","CHI Health Clinic Plainview","","","","","","","","","","","","","","","","","","","","","Catholic Health Initiatives","","","","","","CHI","Q5053168","","","","+1 402 582 3434","","","","","","","","","","","","","","https://www.chihealth.com/body.cfm?id=264&action=detail&clinic_ref=245","yes","",""
"","","","","","node","357782860","","","42.202509","-97.531592","","Pierce","","","","503","68767","","North 6th Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","Avera Medical Group Pierce","","","","","","","","","","","","","","","","","","","","","Avera Health","","","","","","","Q4828238","","","","+1 402 329 6780","","","","","","","","","","","","","","https://www.avera.org/locations/profile/?id=397","","",""
"","","","","","node","357783447","","","40.7204184","-99.1068048","","Kearney","","","","1755","68845","","Prairie View Place","","","hospital","","","","","","","","","","","","","","","","","","","61","","","","","no","","","","1875183","","hospital","","","","","","","psychiatry","","","Richard Young Behavioral Health","","","","","","","","","24/7","","","","","","","","","","","","Catholic Health Initiatives","","","","","","CHI","Q5053168","en:Catholic Health Initiatives","","","+1 308 865 2000","","","","","","","","","","","","","","https://www.chihealth.com/en/services/behavioral-care/richard-young.html","","",""
"","","","","","node","357790008","","","42.7325386","-97.4962511","","Crofton","","","","203","68730","","West Main Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","1884849","","hospital","","","","","","","","","","Avera Medical Group Crofton","","","","","","","","","","","","","","","","","","","","Sacred Heart Medical Clinic","Avera Health","","","","","","","Q4828238","","","","+1 402 388 2343","","","","","","","","","","","","","","https://www.avera.org/locations/profile/?id=115","","",""
"","","","","","node","357958245","","","46.1806046","-112.793195","","Warm Springs","","","","","59425","","","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","792839","","","","","","","","","psychiatry","","","Montana State Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 406 693 7000","","","","","","","","","","","","","","https://dphhs.mt.gov/amdd/MSH.aspx","","Q14704737","en:Montana State Hospital"
"","","","","","node","358629613","","","38.1737283","-99.1482343","","Larned","","","","1301","67550","KS","Highway 264","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","475848","","hospital","","","","","","","psychiatry","","","Larned State Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-620-285-2131","","","","","","","","","","","","LSH","","https://www.kdads.ks.gov/state-hospitals-and-institutions/larned-state-hospital","","",""
"","","","","","node","358630329","","","39.0831163","-96.7682859","private","Fort Riley","","","","600","66442","","Caisson Hill Road","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","","","hospital","","","","","","","","","","Irwin Army Community Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-785-239-7000","","","","","","","","","","","","","","https://iach.amedd.army.mil/","","Q19880893",""
"","","","","","node","358644223","","","38.9946","-94.7762","","Shawnee","","","","7405","66217","","Renner Road","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","2098856","","","","","","","","","","","","KU MedWest","","","","","","","","","","","","","","","","","","","","Cedar Ridge Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.kumed.com/find-us/ku-medwest","","",""
"","","","","","node","358647018","","","37.743538","-97.227321","","Wichita","","","","3333","67226","","North Webb Road","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","2509393","","","","","","","","","","","","Kansas Spine & Specialty Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-316-462-5000","","","","","","","","","","","","","","https://www.ksspine.com/","","",""
"","","","","","node","358652950","","","43.1874153","-112.3346991","","Blackfoot","","","","700","83221","ID","East Alice Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","375262","","hospital","","","","","","","psychiatry","","","State Hospital South","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-208-785-8401","","","","","","","","","","","","","","http://healthandwelfare.idaho.gov/medical/mentalhealth/statehospitals/tabid/495/default.aspx","","",""
"","","","","","node","358667479","","","42.5661081","-114.483156","","Twin Falls","","","","228","83301","ID","Shoup Avenue West","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","401260","","hospital","","","","","","","psychiatry","","","St. Luke’s Canyon View Behavioral Health Services","","","","","","","","","","","","","","","","","","","","Canyon View Hospital","","","","","","","","","","","","+1-208-814-7900","","","","","","","","","","","","","","https://www.stlukesonline.org/communities-and-locations/facilities/hospitals-and-medical-centers/st-lukes-canyon-view-behavioral-health-services","","",""
"","","","","","node","812722397","","","39.7710926","-98.7852223","","Smith Center","","","","614","66967","","South Main Street","","","hospital","","","","","","","","","","","","","","","","","","","25","","","","","yes","","","","","","","","","","","","","","","","Smith County Memorial Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.smithcohosp.org/","","",""
"","","","","","node","964941946","","","37.7384073","-97.2302056","","Wichita","","","","9300","67226","","East 29th Street North","","Suite 100","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","","","","Cypress Surgery Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-316-634-0404","","","","","","","","","","","","","","https://cypresssurgerywichita.com/","","",""
"","","","","","node","1776814326","","","41.3217721","-96.0191326","","Omaha","","","","6901","68122","","North 72nd Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","spine","","","Nebraska Spine Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 402 572 3000","","","","","","","","","","","","","","https://nebraskaspinehospital.com/","","",""
"","","","","","node","2406868903","","","41.1405788","-104.815424","","Cheyenne","","","Cheyenne Cardiology Associates","2301","82001","","House Avenue","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","cardiology","","","Cheyenne Cardiology","","","","","","","Cardiology inside main hospital building, take elevator, construction zone, park in parking garage on House Ave","","","","","","","","","","","","","","","","","","","","","","","","","+1-307-637-1600","","","","","","","","","","","","","","https://www.cheyenneregional.org/","","",""
"","","","","","node","3737858405","","","35.2311384","-97.4085258","","Norman","","","","2002","73071","","East Robinson Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","","","","","","","","","","","J.D. McCarty Center","","","","","","","childrens' developmental disabilities only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://jdmc.org/","","",""
"","","","","","node","4025273875","","","38.0833636","-99.9034207","","Jetmore","","","","809","67854","KS","West Bramley Street","","","hospital","","","","","","","","","","","","","","","","","","hchcinfo@hchonline.org","","","","","","yes","","","+1 620 357 6120","","","","","","","","","","","","","Hodgeman County Health Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-620-357-8361","","","","","","","","","","","","","","https://hchconline.org/","","",""
"","","","","","node","4364272509","","","38.7426893","-98.219668","","Ellsworth","","","","1604","67439","","Aylward Avenue","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","","","hospital","","","","","","","","","","Ellsworth County Medical Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-785-472-3111","","","","","","","","","","","","","","https://www.ewmed.com/","","",""
"","","","","","node","4523281564","","","36.6595189","-95.1241375","","","","","","","","","","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","psychiatry","","","Oklahoma Forensic Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 918 256 7841","","","","","","","","","","","","","","https://ok.gov/odmhsas/Mental_Health/Oklahoma_Forensic_Center.html","","",""
"","","","","","node","4529425949","","","36.0428759","-95.9542442","","Tulsa","","","","2408","74137","","East 81st Street South","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","","","","Oklahoma Surgical Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 918 477 5000","","","","","","","","","","","","","","https://www.oklahomasurgicalhospital.com/","","",""
"","","","","","node","4538883778","","","32.3263017","-106.724957","","Las Cruces","","","","4451","88011","","East Lohman Avenue","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","2697020","","","","","","","","","","","","Advanced Care Hospital of Southern New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-575-521-6600","","","","","","","","","","","","","","https://achsnm.ernesthealth.com/","","",""
"","","","","","node","5611527803","","","43.1959518","-112.3549159","","Blackfoot","","","","350","83221","ID","North Meridian Street","","","hospital","","","","","","","","","","","","","","","","","","","8","","","","","no","","","","","","hospital","","","","","","","neurosurgery","","","Idaho Doctors' Hospital","","","","","","","","","","","","","","","","","","","","","Bingham Memorial Hospital","","","","","","","","","","","+1-208-782-2900","","","","","","","","","","","","","","https://www.binghammemorial.org/idaho-doctors-hospital-blackfoot","","",""
"","","","","","node","5617815584","","","38.0802658","-97.8889078","","Hutchinson","","","","1818","67502","","East 23rd Avenue","","","hospital","","","","","","","","","","","","","","","","","","","10","","","","","no","","","","","","hospital","","","","","","","","","","Summit Surgical","","","","","","","","","","","","","","","","","","","","","Summit Healthcare","","","","","","","","","","","+1-620-662-6000","","","","","","","","","","","","","","https://summitks.com/service-and-specialties/summit-surgical/","","",""
"","","","","","node","5665100716","","","35.3852626","-97.5188434","","Oklahoma CIty","","","","8100","73139","","South Walker Avenue","","Building C","hospital","","","","","","","","","","","","","","","","","","","10","","","","","no","","","","","","hospital","","","","","","","orthopaedics","","","Oklahoma Center for Orthopaedic & Multi-Specialty Surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 405 602 6500","","","","","","","","","","","","OCOM","","https://ocomhospital.com/","","",""
"","","","","","node","5669431450","","","35.4203894","-97.5341561","","Oklahoma City","","","","1044","73109","","Southwest 44th Street","","","hospital","","","","","","","","","","","","","","","","","","","8","","","","","no","","","","","","hospital","","","","","","","surgery","","","OneCore Health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 405 631 3085","","","","","","","","","","","","","","https://onecorehealth.com/","","",""
"","","","","","node","5669444429","","","36.0429312","-95.9540829","","Tulsa","","","","2408","74137","","East 81st Street South","","Suite 209","hospital","","","","","","","","","","","","","","","","","","","4","","","","","no","","","","","","hospital","","","","","","","orthopaedics","","","Advanced Orthopedics of Oklahoma - CityPlex Clinic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 918 494 2665","","","","","","","","","","","","","","https://www.aook.com/","","",""
"","","","","","node","6696479390","","","40.7295181","-99.0222369","","Kearney","","","","4510","68847","NE","East 56th Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","","","","Central Nebraska Veterans Home","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-308-865-6000","","","","","","","","","","","","","","https://veterans.nebraska.gov/cnvh","","",""
"","","","","","node","7496998807","","","36.8034266","-108.6929807","","Shiprock","","","","","","NM","","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","hospital","","","","","","","","","","Navajo Regional Behavioral Health Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://nndbmhs.org/shiprock","","",""
"","","","","","node","7546124076","","","41.2558637","-95.978304","","Omaha","","","","4350","68105","NE","Dewey Avenue","","1","hospital","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","","","hospital","","","","","","","emergency","","","Nebraska Medicine Emergency Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-402-559-6637","","","","","","","","","","","","","","https://nebraskamed.com/","","",""
"","","","","","node","7682140052","","","35.6440396","-97.4168927","","Edmond","","","","4851","73034","OK","INTEGRIS Parkway","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","psychiatry","","","Arcadia Trails INTEGRIS Center for Addiction Recovery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 405-216-2500","","","","","","","","","","","","","","https://arcadiatrails.com/","","",""
"","","","","","node","8779239915","","","42.9225727","-111.0028984","","Thayne","","","","387","83127","WY","North Main Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","Premier Home Health, Inc","","","","","","","","","","","","","","","","","","","","","Prime Healthcare Services","","","","","","","Q7243267","en:Prime Healthcare Services","","","+1-307-883-5500","","","","","","","","","","","","","","https://www.premierhomehealthcare.com/","","",""
"","","","","","node","10874330196","","","43.6003745","-116.5312612","","Nampa","","","","1652","83687","ID","11th Avenue North","","","hospital","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","hospital","","","","","","","psychiatry","","","State Hospital West","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 208 606 7777","","","","","","","","","","","","","","https://healthandwelfare.idaho.gov/dhw/state-hospital-west","","",""
"","","","","","node","10874450099","","","43.065168","-115.850283","","Mountain Home","","","","90","83648-1000","ID","Hope Drive","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","366th Medical Group - Mountain Home Airforce Base Medical Facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 208 828 7900","","","","","","","","","","","","","","https://mountainhome.tricare.mil","","",""
"","","","","","node","10874458887","","","43.5861268","-116.3588419","","","","","","","","","","","","hospital","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","hospital","","","","","","","psychiatry","","","Cottonwood Creek Behavioral Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 208 996 8449","","","","","","","","","","","","","","https://www.cottonwoodcreekboise.com","","",""
"","","","","","node","10887862187","","","38.885785","-94.76781","","Olathe","","","","13351","66062","KS","South Arapaho Drive","","","hospital","","","","","","","","","","","","","","","","","","","72","","","","","","","","","","","hospital","","","","","","","psychiatry","","","Cottonwood Springs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-913-353-3000","","","","","","","","","","","","","","https://cottonwoodsprings.com","","",""
"","","","","","node","10888125609","","","38.9354506","-94.6446554","","Overland Park","","","","5100","66207-4115","KS","Indian Creek Parkway","","","hospital","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","rehabilitation","","","","","","","","","","Rehabilitation Hospital Of Overland Park","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-913-544-1957","","","","","","","","","","","","","","https://pamhealth.com/facilities/find-facility/rehabilitation-hospitals/pam-rehabilitation-hospital-overland","yes","",""
"","","","","","node","10888128905","","","37.5829247","-97.2471359","","Derby","","","","3251","67037","KS","North Rock Road","","","hospital","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","hospital","","","","","","","","","","Rock Regional Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-833-345-7625","","","","","","","","","","","","","","https://rockregionalhospitalderby.com","","",""
"","","","","","node","10888149149","","","37.2225481","-98.041754","","Anthony","","","","485","67003","KS","North Kansas Highway 2","","","hospital","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","hospital","","","","","","","","","","Patterson Health Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-620-842-5111","","","","","","","","","","","","","","https://pattersonhc.org/services","","",""
"","","","","","node","10894774747","","","40.7692213","-96.6174446","","Lincoln","","","","7555","68506","NE","Pioneers Boulevard","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","Advanced Medical Imaging Surgery Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://amimaging.com/surgery-center","","",""
"","","","","","node","10894803472","","","40.8864294","-98.3809837","","Grand Island","","","","3533","68803","NE","Prairieview Street","","","hospital","","","","","","","","","","","","","","","","","","","67","","","","","","","","","","","hospital","","","","","","","","","","Grand Island Regional Medical Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 308 675 5000","","","","","","","","","","","","","","https://www.bryanhealth.com/locations/hospitals/profile/grand-island-regional-medical-center/","","",""
"","","","","","node","10900845708","","","35.138045","-106.6075951","","Albuquerque","","","","1525","87102","NM","North Renaissance Boulevard Northeast","","","hospital","","","","","","","","","","","","","","","","","","","64","","","","","","","","","","","hospital","","","","","","","psychiatry","","","Central Desert Behavioral Health Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 505 243 3387","","","","","","","","","","","","","","https://www.centraldesertbh.com/","","",""
"","","","","","node","10904116662","","","35.6023088","-97.5277574","","","","","","","","","","","","hospital","","","","","","","","","","","","","","","","","","","72","","","","","","","","","","","hospital","","","","","","","psychiatry","","","Oakwood Springs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 405 438 3000","","","","","","","","","","","","","","https://oakwoodsprings.com","","",""
"","","","","","node","10904129810","","","35.6107977","-97.6150409","","Oklahoma City","","","","5401","73142","OK","West Memorial Road","","","hospital","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","hospital","","","","","","","","","","Mercy Rehabilitation Hospital Oklahoma City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 405 384 5201","","","","","","","","","","","","","","https://www.mercy.net/practice/mercy-rehabilitation-hospital-oklahoma-city/","","",""
"","","","","","node","10904130165","","","35.6242102","-97.5501538","","Edmond","","","","15103","73013","OK","North Pennsylvania Avenue","","","hospital","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","hospital","","","","","","","","","","Oklahoma ER And Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://okerhospital.com","","",""
