name,website,email,phone,bio,city,state,lat,lon,source
The Orthopedic Hospital,https://www.theorthohospital.com/,,+1 260 435 2999,Lutheran Health Network,Fort Wayne,,41.0396964,-85.2497498,OpenStreetMap (Overpass)
Saint Joseph Martin,https://www.kentuckyonehealth.org/martin,,+1 606 285 6400,KentuckyOne Health,Martin,,37.5788556,-82.7503136,OpenStreetMap (Overpass)
Olmsted Medical Center,https://www.olmmed.org/locations/walk-in-care/?id=40,,+1-507-533-4727,,Stewartville,MN,43.8564202,-92.487221,OpenStreetMap (Overpass)
Phillips Eye Institute,https://www.allinahealth.org/phillips-eye-institute/,,+1 612 775 8800,Allina Health,Minneapolis,,44.9604269,-93.2642487,OpenStreetMap (Overpass)
UH Rainbow Babies & Children’s Hospital,https://www.uhhospitals.org/rainbow,,+1 216 844 5437,University Hospitals of Cleveland,Cleveland,OH,41.5048613,-81.6057479,OpenStreetMap (Overpass)
Institute for Orthopaedic Surgery,https://www.ioshospital.com/,,+1 419 224 7586,,Lima,,40.6971201,-84.08795,OpenStreetMap (Overpass)
Saint Thomas Hospital for Specialty Surgery,http://www.sthspecialtysurgery.com/,,+1 615 341 7500,,Nashville,,36.1551457,-86.8033192,OpenStreetMap (Overpass)
University of Minnesota Health Cinics and Surgery Center,https://www.mhealth.org/locations/buildings/clinics-and-surgery-center#clinics-and-services,,+1-612-273-8383,M Health Fairview,Minneapolis,MN,44.9709865,-93.2251111,OpenStreetMap (Overpass)
M Health West Bank Emergency Department,https://www.mhealth.org/care/overarching-care/emergency-services-adult,,+1 612 273 8383,M Health Fairview,Minneapolis,MN,44.9677453,-93.2382541,OpenStreetMap (Overpass)
Preble County Medical Center,https://www.ketteringhealth.org/preble/,,,Grandview Medical Center,Eaton,OH,39.7667679,-84.6467187,OpenStreetMap (Overpass)
Rehabilitation Hospital of Indiana,http://rhin.com,,+1-317-329-2000,,Indianapolis,IN,39.8299753,-86.2773855,OpenStreetMap (Overpass)
Midwest Orthopedic Specialty Hospital,https://healthcare.ascension.org/locations/wisconsin/wiwhe/franklin%20midwest%20orthopedic%20specialty%20hospital,,,Ascension,Franklin,WI,42.8602954,-87.9541229,OpenStreetMap (Overpass)
Harbor Oaks Hospital,https://www.harboroaks.com/,,+1-586-684-4870,,New Baltimore,MI,42.6767526,-82.7560884,OpenStreetMap (Overpass)
Pops Diabetes Care,https://popsdiabetes.com/,hi@popsdiabetes.com,+1-800-767-7268,,Oak Park Heights,MN,45.030647,-92.8564902,OpenStreetMap (Overpass)
Valparaiso Health Center - Immediate Care,https://www.comhs.org/locations/v/valparaiso-health-center,,+1 219-286-3700,Community Healthcare System,,,41.5031027,-87.0201162,OpenStreetMap (Overpass)
TriStar Natchez ER,https://www.tristarhealth.com/locations/tristar-natchez-er,,+16153262960,,Dickson,TN,36.0105342,-87.3295931,OpenStreetMap (Overpass)
Behavioral Health,https://www.mymichigan.org/locations/profile/behavioral-health-inpatient-kinross/,,,MyMichigan Medical Center Sault,Kincheloe,MI,46.2662297,-84.4662997,OpenStreetMap (Overpass)
Chicago Behavioral Hospital,https://chicagobehavioralhospital.com,,+1 847 768 5430,,Des Plaines,IL,42.0434377,-87.8790341,OpenStreetMap (Overpass)
Select Specialty Hospital - Evansville,https://www.selectspecialtyhospitals.com/locations-and-tours/in/evansville/evansville,,+1 812 421 2330,Select Specialty Hospital,Evansville,IN,37.9682129,-87.567267,OpenStreetMap (Overpass)
Fort Wayne VA Medical Center,https://www.va.gov/northern-indiana-health-care/locations/fort-wayne-va-medical-center,,+1 260 426 5431,,Fort Wayne,IN,41.0909165,-85.1097859,OpenStreetMap (Overpass)
Porter - Starke Services,https://www.porterstarke.org,,+1 219 531 3500,,Valparaiso,IN,41.4896904,-87.0520331,OpenStreetMap (Overpass)
Bowen Center Hospital,https://www.bowencenter.org/kosciusko-county,,+1 574 385 3147,,Pierceton,IN,41.2060192,-85.7006035,OpenStreetMap (Overpass)
Indianapolis Rehabilitation Hospital,https://www.indianapolis-rehabhospital.com,,+1 463 333 9110,,Carmel,IN,39.9667371,-86.1513391,OpenStreetMap (Overpass)
Sycamore Springs Hospital,https://www.sycamorespringshealth.com,,+1 765 743 4400,,Lafayette,IN,40.4066718,-86.8274465,OpenStreetMap (Overpass)
Assurance Health Psychiatric Hospital,https://www.assurancehealthsystem.com,,+1 317 372 6611,,Anderson,IN,40.0378439,-85.7250539,OpenStreetMap (Overpass)
Kindred Hospital Indianapolis North,https://www.kindredhospitals.com/locations/ltac/kindred-hospital-indianapolis-north,,+1-317-813-8900,,Indianapolis,IN,39.9021178,-86.0604935,OpenStreetMap (Overpass)
Vibra Hospital Of Northwestern Indiana,https://vhnwindiana.com,,+1 219 472 2200,,Crown Point,IN,41.4443906,-87.3252867,OpenStreetMap (Overpass)
Options Behavioral Health System,https://www.optionsbehavioralhealthsystem.com,,+1-317-544-4340,,Indianapolis,IN,39.8557616,-86.0437386,OpenStreetMap (Overpass)
Medical Behavioral Hospital - Mishawaka,https://www.neuropsychiatrichospitals.net,,+1 574 485 1703,,Mishawaka,IN,41.6712484,-86.1588728,OpenStreetMap (Overpass)
Lafayette Regional Rehabilitation Hospital,https://lrrh.ernesthealth.com,,+1 765 447 4040,,Lafayette,IN,40.4045411,-86.8294507,OpenStreetMap (Overpass)
A Rosie Place,https://arosieplace.org,,+1 574 235 8899,,South Bend,IN,41.720046,-86.3814643,OpenStreetMap (Overpass)
Harsha Behavioral Center,https://www.harshacenter.com,,+1 812 298 8888,,Terre Haute,IN,39.40014,-87.3959506,OpenStreetMap (Overpass)
Community Health Network Rehabilitation Hospital South,https://www.communityrehabhospitalsouth.com,,+1 317 215 3808,,Greenwood,IN,39.6281387,-86.0755379,OpenStreetMap (Overpass)
Evansville Psychiatric Children's Center,https://www.in.gov/fssa/dmha/state-psychiatric-hospitals/evansville-psychiatric-childrens-center,,+1 812 477 6436,,Evansville,IN,37.993908,-87.5090659,OpenStreetMap (Overpass)
PAM Health Rehabilitation Hospital of Greater Indiana,https://pamhealth.com/facilities/find-facility/rehabilitation-hospitals/pam-health-rehabilitation-hospital-greater-indiana,,+1 812 913 6880,,Clarksville,IN,38.3294451,-85.7657752,OpenStreetMap (Overpass)
Assurance Health Psychiatric Hospital,http://assurancehealthsystem.com/locations/indianapolis,,+1-317-982-3715,,Indianapolis,IN,39.7776228,-86.273254,OpenStreetMap (Overpass)
Brightwell Behavioral Health,https://www.clarksville.brightwellbehavioral.com,,+1 574 339 3094,,Clarksville,IN,38.3203711,-85.7673302,OpenStreetMap (Overpass)
Gateway Rehabilitation Hospital,https://vrhgateway.com,,+1 859 426 2400,,Florence,KY,39.0080404,-84.6551392,OpenStreetMap (Overpass)
Sun Behavioral Health,https://sunbehavioral.com/kentucky,,+1 859 429 5188,,Erlanger,KY,39.0389472,-84.5944414,OpenStreetMap (Overpass)
Cross River Therapy,https://www.crossrivertherapy.com/indiana/,,+1-919-375-0475,"Cross River Therapy is a leading provider of ABA therapy services for children with autism. We provide ABA therapy services for children ages 1-21 in the comfort of your home, our clinic, or community setting as well as school-based support.",Indianapolis,IN,39.9396569,-86.0238248,OpenStreetMap (Overpass)
Brightwell Behavioral Health,https://www.eastlansing.brightwellbehavioral.com,,,,East Lansing,MI,42.7719945,-84.5024595,OpenStreetMap (Overpass)
Sanford Behavioral Health Center,https://www.sanfordhealth.org/locations/sanford-thief-river-falls-behavioral-health-center,,+1 218 681 4240,,Thief River Falls,MN,48.1162231,-96.179638,OpenStreetMap (Overpass)
Bronson Battle Creek Hospital - Fieldstone Center,https://www.bronsonhealth.com/locations/fieldstone-center,,+1 800 582 1900,,Battle Creek,MI,42.329752,-85.191764,OpenStreetMap (Overpass)
McLaren Bay Special Care,https://www.mclaren.org/bay-special-care/mclaren-bay-special-care-home,,,,Bay City,MI,43.5998368,-83.9243996,OpenStreetMap (Overpass)
Community Behavorial Health Hospital - Annandale,https://www.minnesotahelp.info/Providers/Community_Behavioral_Health_Hospital_CBHH_Annandale/Community_Behavioral_Health_Hospital_CBHH/1,,+1 651 259 3850,,Annandale,MN,45.2550512,-94.1013814,OpenStreetMap (Overpass)
Community Behavioral Health Hospital - Rochester,https://www.minnesotahelp.info/Providers/Community_Behavioral_Health_Hospital_CBHH_Rochester/Community_Behavioral_Health_Hospital_CBHH/1,,+1 507 206 2561,,Rochester,MN,43.9727362,-92.4560106,OpenStreetMap (Overpass)
Community Behavioral Health Hospital - Alexandria,https://www.minnesotahelp.info/Providers/Community_Behavioral_Health_Hospital_CBHH_Alexandria/Community_Behavioral_Health_Hospital_CBHH/1,,+1 320 335 6201,,Alexandria,MN,45.8825622,-95.3540862,OpenStreetMap (Overpass)
Community Behavioral Health Hospital - Fergus Falls,https://www.minnesotahelp.info/Providers/Community_Behavioral_Health_Hospital_CBHH_Fergus_Falls/Community_Behavioral_Health_Hospital_CBHH/1,,+1 218 332 5005,,Fergus Falls,MN,46.2752393,-96.1057157,OpenStreetMap (Overpass)
Child And Adolescent Behavioral Health,https://mn.gov/dhs/people-we-serve/adults/services/direct-care-treatment/programs-services/child-and-adolescent-behavioral-health-services,,+1 320 231 5404,,Willmar,MN,45.1457825,-95.0071959,OpenStreetMap (Overpass)
Fairborn Medical Center,https://www.premierhealth.com/fairborn-medical-center,,+1-937-208-8155,,,,39.7816502,-84.001306,OpenStreetMap (Overpass)
Cleveland Clinic Rehabilitation Hospital - Beachwood,https://my.clevelandclinic.org/locations/directions/472-cleveland-clinic-rehabilitation-hospital-beachwood,,+1 216 455 6400,,Beachwood,OH,41.4729288,-81.4921572,OpenStreetMap (Overpass)
Sunrise Vista Behavioral Health,https://newvistahealth.com/location/behavioral-health/inpatient-psychiatric-facilities/canton,,+1 856 723 4496,,Canton,OH,40.8099537,-81.3724403,OpenStreetMap (Overpass)
Mercy Health Fountian Medical Campus,https://www.mercy.com,,,,Springfield,OH,39.9397549,-83.811348,OpenStreetMap (Overpass)
Shepherd Hill Hospital,https://www.shepherdhill.net,,+1 220 564 4100,,Newark,OH,40.0410727,-82.4536751,OpenStreetMap (Overpass)
Assurance Health Toledo,http://assurancehealthsystem.com/locations/toledo-oh,,+1 219 510 3776,,Sylvania,OH,41.6897487,-83.7220643,OpenStreetMap (Overpass)
Assurance Health Hudson,http://assurancehealthsystem.com/locations/hudson-oh,,+1 330 208 9317,,Hudson,OH,41.2363415,-81.4879655,OpenStreetMap (Overpass)
Kettering Health Network Troy Hospital,https://www.ketteringhealth.org/troy,,+1 937 980 7000,Kettering Health Network,,,40.0432322,-84.2096864,OpenStreetMap (Overpass)
Select Specialty Hospital Southeast Ohio,https://www.selectspecialtyhospitals.com/locations-and-tours/oh/newark/southeast-ohio/,,,,Newark,OH,40.0425594,-82.4646618,OpenStreetMap (Overpass)
Grace Hospital,https://www.gracehospital.org,,+1 216 456 3891,,Cleveland,OH,41.4806953,-81.6908685,OpenStreetMap (Overpass)
Ridgeview Behavioral Hospital,https://ridgeviewhospital.net,,+1 419 968 2950,,Middlepoint,OH,40.8773356,-84.4790152,OpenStreetMap (Overpass)
Glenwood Behavioral Health Hospital,https://www.glenwoodbehavioral.com,,+1 513 866 2220,,Cincinnati,OH,39.2043077,-84.5716399,OpenStreetMap (Overpass)
Kettering Behavioral Medicine Center,https://ketteringhealth.org/services/behavioral-mental-health/,,+1 937 534 4600,,Dayton,OH,39.6753957,-84.2110107,OpenStreetMap (Overpass)
Mount Carmel Behavioral Healthcare,https://www.mountcarmelbehavioralhealth.com,,+1 614 852 4680,,Columbus,OH,39.9357479,-82.8703805,OpenStreetMap (Overpass)
Lake Health Beachwood Medical Center,https://lakehealth.org/location/beachwood-medical-center,,+1 440 375 8700,,Beachwood,OH,41.4649708,-81.4990068,OpenStreetMap (Overpass)
Columbus Springs East,https://columbussprings.com/locations/east,,+1 614 300 9100,,Columbus,OH,40.0126349,-82.9142245,OpenStreetMap (Overpass)
Trihealth Rehabilitation Hospital,https://www.trihealthrehab.com,,+1 513 601 0333,,Cincinnati,OH,39.1447609,-84.4590688,OpenStreetMap (Overpass)
Regency Hospital Of Cleveland East,https://www.regencyhospital.com/locations-and-tours/oh/warrensville-heights/cleveland-east/,,+1 216 910 3802,,Warrensville Heights,OH,41.4322627,-81.5064975,OpenStreetMap (Overpass)
Mount Carmel Rehabilitation Hospital An Affiliate Of Encompass Health,https://encompasshealth.com/locations/mountcarmelrehab,,+1 614 392 3400,,,,40.1444528,-82.9490558,OpenStreetMap (Overpass)
Beckett Springs,https://beckettsprings.com,,+1 513 942 9500,,West Chester,OH,39.343458,-84.4556835,OpenStreetMap (Overpass)
Regency Hospital Of Cleveland West,https://www.regencyhospital.com/locations-and-tours/oh/middleburg-heights/cleveland-west/,,+1 717 975 4503,,Middleburg Heights,OH,41.3773434,-81.8276544,OpenStreetMap (Overpass)
Highland Springs Hospital,https://www.highlandspringshealth.com,,+1 216 302 3070,,Highland Hills,OH,41.4503909,-81.522281,OpenStreetMap (Overpass)
Sun Behavioral Columbus;SUN Behavioral Columbus,https://suncolumbus.com;https://suncolumbus.com/,info@suncolumbus.com,+1-614-706-2786; +1-614-953-5219,,Columbus,OH,40.0891884,-82.9935616,OpenStreetMap (Overpass)
Assurance Health Cincinnati,http://assurancehealthsystem.com/locations/cincinnati/,,+1 513 469 7800,,Cincinnati,OH,39.2819294,-84.3675518,OpenStreetMap (Overpass)
Ohio Hospital For Psychiatry,https://www.ohiohospitalforpsychiatry.com,,+1 614 449 9664,,,,39.9403455,-83.0197956,OpenStreetMap (Overpass)
Access Hospital Dayton,https://www.accesshospital.com,,+1 937 256 7801,,Dayton,OH,39.7360121,-84.1542281,OpenStreetMap (Overpass)
Encompass Health Rehabilitation Hospital of Cincinnati at Norwood,https://encompasshealth.com/locations/cincinnatirehab-norwood,,+1 513 712 9200,,Cincinnati,OH,39.1671539,-84.4606168,OpenStreetMap (Overpass)
Select Specialty Hospital - Boardman,https://www.selectspecialtyhospitals.com/locations-and-tours/oh/youngstown/boardman/,,+1 330 726 5000,Select Specialty Hospital,Boardman,OH,41.0051693,-80.6329723,OpenStreetMap (Overpass)
Select Specialty Hospital - Akron,https://www.selectspecialtyhospitals.com/locations-and-tours/oh/akron/akron/,,+1 330 605 1565,Select Specialty Hospital,Akron,OH,41.0829159,-81.5117741,OpenStreetMap (Overpass)
Trihealth Good Samaritan Hospital At Evendale,https://www.trihealth.com/hospitals-and-practices/good-samaritan-hospital-at-evendale,,+1 513 247 8818,,Cincinnati,OH,39.2514891,-84.4204124,OpenStreetMap (Overpass)
Erlanger North Hospital - Satellite,https://www.erlanger.org/erlanger-north-hospital/north-hospital,,+1 423 778 6110,,Chattanooga,TN,35.1235127,-85.3021075,OpenStreetMap (Overpass)
Willow Creek Behavioral Health,https://willowcreekbh.com,,+1 920 328 1220,,Green Bay,WI,44.4759201,-87.9237161,OpenStreetMap (Overpass)
Southwest Behavioral Services,https://www.southwesthealth.org/services/southwest-behavioral-services/,,,,Platteville,WI,42.7449002,-90.4790207,OpenStreetMap (Overpass)
Rehabilitation Hospital Of Wisconsin,https://www.rehabhospitalwi.com,,+1 262 521 8800,,Waukesha,WI,43.0260341,-88.2872089,OpenStreetMap (Overpass)
BridgeCare ABA,https://bridgecareaba.com/,,+1-463-252-4475,BridgeCare ABA compassionately provides ABA intervention services that help children with autism master new skills.,Indianapolis,IN,39.9168819,-86.1088533,OpenStreetMap (Overpass)
"Cosmetic Surgeons of Michigan, PC",https://www.cosmeticsurgeonsofmichigan.net/,,+1-586-773-6900,,St. Clair Shores,MI,42.4604021,-82.900778,OpenStreetMap (Overpass)
"Aesthetic Plastic Surgery & Laser Center, Michelle Hardaway M.D.",https://michellehardawaymd.com/,,+1-248-855-6030,,Farmington Hills,MI,42.5049823,-83.3580812,OpenStreetMap (Overpass)
Marshall Pediatric Therapy - Richmond,https://marshallpediatrictherapy.com/locations/richmond,,+1-859-444-5330,,Richmond,KY,37.7325798,-84.2713522,OpenStreetMap (Overpass)
OhioHealth Emergency Care - New Albany,https://www.ohiohealth.com/locations/emergency-care/ohiohealth-emergency-care-new-albany,,+1 614-788-9350,OhioHealth,Columbus,OH,40.0764669,-82.851952,OpenStreetMap (Overpass)
OhioHealth Emergency Care Powell,https://www.ohiohealth.com/locations/emergency-care/ohiohealth-emergency-care-powell,,+1 614-788-9340,OhioHealth,,,40.1443288,-83.0915283,OpenStreetMap (Overpass)
Mercyhealth Hospital and Physician Clinic,https://www.mercyhealthsystem.org/locations/mercyhealth-hospital-and-physician-clinic-crystal-lake/,,+1-779-220-5500,,Crystal Lake,IL,42.2169376,-88.2853765,OpenStreetMap (Overpass)
Legends Recovery Center of Ohio,https://www.legendsrecovery.com/,,+1-844-534-3638,"At Legends Recovery Center of Ohio in Green Springs, our skilled team of trained addiction specialists will assist each individual in identifying positive coping skills and developing meaningful support systems at home",Green Springs,OH,41.2633922,-83.050851,OpenStreetMap (Overpass)
Baptist Arlington Emergency Department,https://www.baptistonline.org/services/emergency,,+1-901-226-1850,,Arlington,TN,35.266531,-89.6662461,OpenStreetMap (Overpass)
OhioHealth Rehabilitation Hospital - Dublin,https://www.ohiohealth-rehab.com/locations-and-tours/ohiohealth-rehabilitation-hospital-dublin/,,,,,,40.1231051,-83.0917311,OpenStreetMap (Overpass)
OhioHealth Urgent Care New Albany,https://www.ohiohealth.com/locations/urgent-care/ohiohealth-urgent-care-gahanna-new-albany,,+1 614 775 9870,OhioHealth,Columbus,OH,40.0799825,-82.8529358,OpenStreetMap (Overpass)
Watertown Regional Medical Center,https://www.watertownregional.com/?utm_source=GMBSocialClimb&utm_medium=WatertownRegionalMedicalCenter,,,,Watertown,WI,43.2000463,-88.6965379,OpenStreetMap (Overpass)
Prism Medical Group Family Medicine - Rochester,https://prismmedicalgroup.com/,,,,,,42.6247654,-83.0960365,OpenStreetMap (Overpass)
Altruism Counseling Services,https://altruismcounseling.com,info@altruismcounseling.com,+1-859-310-6505,,Lexxington,KY,38.0486695,-84.4978375,OpenStreetMap (Overpass)
UC Health Surgical Center,https://www.uchealth.com/en/locations/surgical-center,,+1-513-475-8300,UC Health,West Chester,OH,39.36124,-84.3656128,OpenStreetMap (Overpass)
UC Health Sleep Medicine Center,https://www.uchealth.com/en/locations/sleep-medicine-center,,,UC Health,West Chester,OH,39.3613728,-84.3660098,OpenStreetMap (Overpass)
University of Cincinnati Cancer Center Radiotherapy,https://www.uchealth.com/en/locations/radiotherapy,,,,West Chester,OH,39.3616034,-84.3667115,OpenStreetMap (Overpass)
UC Health West Chester Family Medicine Residency - Admin Office,https://ucwcfmresidency.com,,+1-513-475-5135,,West Chester,OH,39.3617533,-84.3645558,OpenStreetMap (Overpass)
Timeless Spa Center,https://timeless-spacenter.com/,operations@timeless-spacenter.com,,"""Discover unparalleled luxury and wellness at Timeless Spa Center, 
your premier destination for medical spa treatments in Lexington. Our spa offers a diverse range of high-end services for the entire body. Enjoy our signature facials that deeply cleanse",Lexington,KY,38.0315948,-84.493335,OpenStreetMap (Overpass)
Dermazen Spa,https://dermazenspa.com/,operations@dermazenspa.com,,"Welcome to Dermazen Spa, the top spot for luxurious med spa treatments in Hermitage, TN.",Hermitage,TN,36.1925063,-86.6183786,OpenStreetMap (Overpass)
Skinfinity Spa,https://skinfinity-spa.com/,operations@skinfinity-spa.com,,"Welcome to Skinfinity Spa, your premier destination for luxurious med spa treatments in Louisville, KY. Skinfinity Spa specializes in non-invasive medical treatments that give excellent results with no downtime.",Louisville,KY,38.2512701,-85.6448543,OpenStreetMap (Overpass)
Vanderbilt Wilson County Hospital,https://www.vanderbilthealth.com/hospital/vanderbilt-wilson-county-hospital,,+1 615 444 8262,Vanderbilt University Medical Center,Lebanon,TN,36.2210698,-86.3271737,OpenStreetMap (Overpass)
ReVIDA® Recovery Sparta,https://www.revidarecovery.com/sparta-tn/,generalinfo@revidarecovery.com,+1-931-222-0139,"ReVIDA® Recovery Sparta offers medication-assisted treatment (MAT) with Suboxone to help individuals in Sparta, TN overcome opioid addiction.",Sparta,TN,35.9419524,-85.4853354,OpenStreetMap (Overpass)
SUN Lexington Outpatient Center,https://sunkentucky.com/outpatient-treatment-lexington/,info@sunbehavioral.com,+1-859-681-7987,"Mental health clinic in Lexington, KY",Lexington,KY,37.9934714,-84.4637751,OpenStreetMap (Overpass)
ReVIDA® Recovery - Tullahoma,https://www.revidarecovery.com/locations/tullahoma-tn/,generalinfo@revidarecovery.com,+1-931-222-4075,,Tullahoma,TN,35.3926158,-86.2420728,OpenStreetMap (Overpass)
IEP Urgent Care,https://www.iepurgentcare.com/jackson,,+15175393018,,,,42.2485217,-84.3975227,OpenStreetMap (Overpass)
Discovery Place,https://discoveryplace.info/,,+1-800-725-0922,,Burns,TN,36.0254321,-87.2498467,OpenStreetMap (Overpass)
Bronson Methodist Hospital,https://www.bronsonhealth.com/,,+1 269-341-7654,Bronson,Kalamazoo,MI,42.2850893,-85.5810138,OpenStreetMap (Overpass)
Lutheran Hospital,https://www.lutheranhealth.net/,,+1-260-425-4200,,,,41.1208835,-85.059132,OpenStreetMap (Overpass)
Action Behavior Centers - ABA Therapy for Autism,https://www.actionbehavior.com/location/illinois/tinley-park,,,,Tinley Park,IL,41.5579038,-87.8140466,OpenStreetMap (Overpass)
Opus East Memphis,https://www.arborcompany.com/locations/tennessee/opus-east-memphis,marketing@arborcompany.com,+1-901-587-7100,,Memphis,TN,35.1031961,-89.9177027,OpenStreetMap (Overpass)
Action Behavior Centers - ABA Therapy for Autism,https://www.actionbehavior.com/location/minnesota/shoreview-rice-creek-pkwy,,+1-763-344-8858,,Shoreview,MN,45.1197879,-93.1859024,OpenStreetMap (Overpass)
